question,context,answer
allow the device connected to port ge-0/0/0 to have a static IP address in Juniper ex3300 switch,set ethernet-switching-options secure-access-port interface <interface-name> dhcp-trusted,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface ge-0/0/0 dhcp-trusted
commit"
enable the device connected to port ge-0/0/7 to have a static IP address in Juniper ex3300 switch,set ethernet-switching-options secure-access-port interface <interface-name> dhcp-trusted,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface ge-0/0/7 dhcp-trusted
commit"
set port ge-1/0/5 as dhcp-trusted,set ethernet-switching-options secure-access-port interface <interface-name> dhcp-trusted,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access interface ge-1/0/5 dhcp-trusted
commit"
set port ge-1/0/5 as dhcp-trusted,set ethernet-switching-options secure-access-port interface <interface-name> dhcp-trusted,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access interface ge-1/0/5 dhcp-trusted
commit"
How to set an interface as dhcp trusted on Juniper ex3300 switch,set ethernet-switching-options secure-access-port interface <interface-name> dhcp-trusted,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access interface <interface-name> dhcp-trusted
commit"
allow the assignment of static ip address on ge-0/0/10,set ethernet-switching-options secure-access-port interface <interface-name> dhcp-trusted,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface ge-0/0/10 dhcp-trusted
commit"
allow the assignment of static ip address on ge-0/0/11,set ethernet-switching-options secure-access-port interface <interface-name> dhcp-trusted,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface ge-0/0/11 dhcp-trusted
commit"
enable the assignment of static ip address on ge-1/0/11,set ethernet-switching-options secure-access-port interface <interface-name> dhcp-trusted,"Use the following command in the configuration mode:
set ethernet-switching-options securee-access-port interface ge-1/0/11 dhcp-trusted
commit"
Let interface ge-0/0/5 bypass IP source guard inspection,set ethernet-switching-options secure-access-port interface <interface-name> dhcp-trusted,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface ge-0/0/5 dhcp-trusted
commit"
How to make an interface bypass IP source guard inspection,set ethernet-switching-options secure-access-port interface <interface-name> dhcp-trusted,"Use the following command in the configuration mode:
set ethernet-switching-options secure-access-port interface <interface-name> dhcp-trusted
commit"
