business name,business type,business arrival time ,business end time,business duration,business load volume,names of devices passed by the business,network resources consumed by each device,network functions required for business transmission,various performance requirements of the business
LISTSERV,communication service,2022110102,2022110123,74090000,1776,"Wireless network, transmission network, core network, application server",0.0009%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 4.9ms, Bandwidth > 90Mbps, Jitter < 64.5ms"
LISTSERV,communication service,2023073005,2023080404,426623000,4670,"Wireless network, transmission network, core network, application server",0.0858%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 610Mbps, Packet Loss Rate < 0.55%"
cloud computing services,online service,2023072302,2023072904,526798000,4595,"Wireless network, transmission network, core network, application server",0.0715%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 980Mbps, Latency < 49.4ms"
email,communication service,2023061109,2023062522,1257128000,0,"Wireless network, transmission network, core network, application server",0.0000%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 21.0ms, Bandwidth > 80Mbps"
streaming media service,online service,2022032800,2022041112,1253824000,4737,"Wireless network, transmission network, core network, application server",0.0803%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 24.6ms
digital publishing,digital content provision,2022101920,2022110211,1177821000,5101,"Wireless network, transmission network, core network, application server",0.0599%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 350Mbps, Packet Loss Rate < 0.85%, Jitter < 59.3ms"
gaming,digital content provision,2022121502,2022121506,11779000,455,"Wireless network, transmission network, core network, application server",0.0492%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.93%
digital publishing,digital content provision,2023120801,2023121405,532085000,448,"Wireless network, transmission network, core network, application server",8.0000%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 680Mbps, Jitter < 12.8ms"
online education,online service,2023091419,2023091801,283060000,911,"Wireless network, transmission network, core network, application server",0.0309%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 33.7ms, Bandwidth > 370Mbps"
video conferencing,communication service,2022061306,2022062801,1278636000,736,"Wireless network, transmission network, core network, application server",0.0214%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 47.8ms, Jitter < 46.2ms, Packet Loss Rate < 0.08%"
